# Efinity GPIO Pin Assignment
# Version: 2022.2.322
# Date: 2023-05-26 21:45
#
# Copyright (C) 2017 - 2022 Efinix Inc. All rights reserved.
#
# Device: T8Q144
# Package: 144-pin QFP (final)
# Project: a314-1000
# Configuration mode: active (x1)
# Timing Model: C4 (final)
Package Pin-Pad Name,Instance Name,Mode
3-GPIOL_53_CDI10,SRAM_D[7],inout
4-GPIOL_54_CDI11,SRAM_WE_n,output
6-GPIOL_46,SRAM_A[16],output
7-GPIOL_41_CDI9,SRAM_A[15],output
8-GPIOL_40_CDI8,SRAM_A[14],output
10-GPIOL_32_CTRL4_CDI7,SRAM_A[13],output
11-GPIOL_31_CLK7_CDI6,SRAM_A[12],output
14-GPIOL_25_CLK1,SRAM_UB_n,output
15-GPIOL_24_CLK0,SRAM_A[5],output
16-GPIOL_22_CTRL2,SRAM_LB_n,output
17-GPIOL_21_CTRL1_CDI5,SRAM_A[6],output
18-GPIOL_20_CTRL0_CDI4,SRAM_A[7],output
19-GPIOL_13_CDI3,SRAM_OE_n,output
20-GPIOL_12_CDI2,SRAM_D[15],inout
28-GPIOL_09_CDI1,,
29-GPIOL_08_CDI0,,
30-GPIOL_01_CCK,,
31-GPIOL_00_SS_N,,
32-GPIOL_04_CSI,DRAM_CASL_n[1],input
33-GPIOL_05_CSO,DRAM_CASU_n[0],input
38-GPIOB_TXP00,SRAM_D[11],inout
39-GPIOB_TXN00,SRAM_D[10],inout
40-GPIOB_TXP02,SRAM_D[9],inout
41-GPIOB_TXN02,SRAM_D[8],inout
42-GPIOB_TXP04,SRAM_A[8],output
43-GPIOB_TXN04,SRAM_A[9],output
45-GPIOB_TXP06,SRAM_A[10],output
46-GPIOB_TXN06,SRAM_A[11],output
47-GPIOB_TXP09,SRAM_D[12],inout
48-GPIOB_TXN09,SRAM_D[13],inout
53-GPIOB_TXP11,SRAM_D[14],inout
54-GPIOB_TXN11,DRAM_CASL_n[0],input
55-GPIOB_RXP00,DRAM_A[0],input
56-GPIOB_RXN00,DRAM_A[7],input
58-GPIOB_RXP02,DRAM_A[1],input
59-GPIOB_RXN02,DRAM_A[6],input
60-GPIOB_RXN03,DRAM_A[5],input
61-GPIOB_RXP03,DRAM_D[3],inout
65-GPIOB_RXN07,DRAM_D[2],inout
66-GPIOB_RXP07,DRAM_D[5],inout
67-GPIOB_RXP10,DRAM_D[4],inout
68-GPIOB_RXN10,DRAM_D[6],inout
69-GPIOB_RXN12_EXTFB0,DRAM_D[8],inout
70-GPIOB_RXP12_EXTFB0,DRAM_D[9],inout
71-GPIOB_CLKP0,DRAM_D[11],inout
72-GPIOB_CLKN0,DRAM_D[10],inout
74-GPIOR_158_TEST_N,DRAM_D[14],inout
75-GPIOR_157_PLLIN,DRAM_D[12],inout
76-GPIOR_155,DRAM_D[13],inout
77-GPIOR_154,DRAM_D[7],inout
78-GPIOR_151_CBUS0,DRAM_D[15],inout
79-GPIOR_150_CBUS1,DRAM_D[1],inout
80-GPIOR_149_CBUS2,DRAM_D[0],inout
81-GPIOR_139,DRAM_RAS_n,input
82-GPIOR_138,DRAM_WE_n,input
83-GPIOR_136_CDI16,DRAM_CASU_n[1],input
84-GPIOR_135_CDI17,DRAM_A[3],input
86-GPIOR_133_CDI18,DRAM_A[2],input
87-GPIOR_132_CDI19,DRAM_A[4],input
89-GPIOR_129_CTRL10,PI_D[10],inout
90-GPIOR_128_CTRL11,PI_D[0],inout
92-GPIOR_125_CLK10,PI_D[11],inout
93-GPIOR_123_CLK12_CDI20,PI_D[14],inout
97-GPIOR_122_CLK13_CDI21,PI_D[13],inout
98-GPIOR_117_CTRL14,PI_A[3],input
99-GPIOR_116_CTRL15,PI_IRQ,output
100-GPIOR_113_CDI22,PI_ACK,output
101-GPIOR_112_CDI23,PI_A[0],input
102-GPIOR_105_CDI24,PI_D[6],inout
103-GPIOR_104_CDI25,PI_A[1],input
105-GPIOR_95_CDI26,PI_D[5],inout
106-GPIOR_94_CDI27,PI_D[4],inout
109-GPIOR_88_CDI28,PI_D[7],inout
110-GPIOR_87_CDI29,PI_D[3],inout
111-GPIOR_85,PI_D[1],inout
112-GPIOR_86,PI_D[8],inout
113-GPIOR_84,PI_D[2],inout
114-GPIOR_83,PI_D[9],inout
115-GPIOR_82,PI_D[12],inout
116-GPIOR_81_MREFCLK,PI_D[15],inout
117-GPIOR_80,PI_WR,input
118-GPIOR_79_EXTFB1_CDI30,PI_A[2],input
119-GPIOR_78_EXTFB0_CDI31,PI_REQ,input
123-GPIOR_77_PLLIN1,INT2,output
124-GPIOR_76_PLLIN0,CLK25M,input
131-GPIOL_75_PLLIN1,SRAM_D[6],inout
132-GPIOL_74_PLLIN0,SRAM_D[5],inout
134-GPIOL_73_EXTFB1_CDI15,SRAM_D[4],inout
135-GPIOL_72_EXTFB0_CDI14,SRAM_D[3],inout
136-GPIOL_71_NSTATUS,SRAM_D[2],inout
137-GPIOL_70_CBSEL0,SRAM_D[1],inout
138-GPIOL_69_CBSEL1,SRAM_D[0],inout
139-GPIOL_68,SRAM_A[4],output
140-GPIOL_67_CDI13,SRAM_A[3],output
141-GPIOL_65,SRAM_A[2],output
142-GPIOL_66_CDI12,SRAM_A[1],output
144-GPIOL_64,SRAM_A[0],output
